Tier         Weight   Score  Name
Common       120      4      Heartbeat_Border
Common       120      4      Ionosphere
Common       120      4      Light_Veil
Common       120      4      Nexus_Pulse
Common       120      4      Normal_Shimmer
Common       120      4      Xp_Levelup
Common       120      3      Antimatter
Common       120      3      Arabesque_Arch
Common       120      3      DNA_Helix
Common       120      3      Ekg_Heartbeat
Common       120      3      Hex_Grid_Edge
Common       120      3      Hive_Swarm
Common       120      3      Icon_Triptych
Common       120      3      Magnetic_Field
Common       120      3      Moire_Reveal
Common       120      3      Nebula_Shell
Common       120      3      Northern_Curtain
Common       120      3      Ring_Pulse
Common       120      3      Rust_Decay
Common       120      2      Barcode_Scroll
Common       120      2      Kaleidoscope_Four
Common       120      2      Penrose_Stairs
Common       120      2      Penrose_Tile
Common       120      2      Wave_Phase_Shift
Common       120      1      Border_Pulse
Common       120      1      Chromosome_Paint
Common       120      1      Pink_Glass
Common       120      1      RGB_Split_Border
Common       120      1      Static_Noise
Common       120      1      Tesserae_Lay
Common       120      0      Asteroid_Belt
Common       120      0      Collatz_Orbit
Common       120      0      Diagonal_Wave
Common       120      0      Dual_Layer_Pulse
Common       120      0      Ice_Mirror
Common       120      0      Ion_Flash
Common       120      0      LED_Circuit_Blink
Common       120      0      Polar_Sheen
Common       120      0      Pulse_Wave
Common       120      0      Stone_Brick
  --- Common: 108 ---
