Tier         Weight   Score  Name race
Uncommon     60       16     Hippie_Cyclops  primal
Uncommon     60       16     Mint_Cyclops  primal
Uncommon     60       16     Moss_Titan  verdant
Uncommon     60       16     Motley_Jester  corsair
Uncommon     60       16     Mushroom_Dude  eldritch
Uncommon     60       16     Purple_Grin  highborn
Uncommon     60       16     Rainbow_Dreads_Lady  highborn
Uncommon     60       16     Shocked_Fishman  wildkin
Uncommon     60       16     Smoke_Lady  highborn
Uncommon     60       16     Spiky_Flame  highborn
Uncommon     60       16     Teal_Monster  highborn
Uncommon     60       16     Triple_Eye_Freak  highborn
Uncommon     60       15     Alpine_Hunter  highborn
Uncommon     60       15     Blue_Cap_Boy  highborn
Uncommon     60       15     Bucktooth_Nerd  primal
Uncommon     60       15     Chill_Tabby  highborn
Uncommon     60       15     Cyan_Imp  voidkin
Uncommon     60       15     Derpy_Slime  eldritch
Uncommon     60       15     Eskimo  highborn
Uncommon     60       15     Neon_Mohawk  highborn
Uncommon     60       15     Split_Mask  runeborn
Uncommon     60       15     Tiki_Mask  runeborn
Uncommon     60       15     You_Know  highborn
Uncommon     60       14     Baby_Lips  highborn
Uncommon     60       14     Bubble_Girl  highborn
Uncommon     60       14     Cyan_INO  highborn
Uncommon     60       14     Derpy_Slug  highborn
Uncommon     60       14     Forest_Spirit  highborn
Uncommon     60       14     Gnome  highborn
Uncommon     60       14     Norm  highborn
Uncommon     60       14     Party_Pug  wildkin
Uncommon     60       14     Pink_Elvis  highborn
Uncommon     60       14     Pink_Trilobe  voidkin
Uncommon     60       14     Ring_Girl  highborn
Uncommon     60       14     Shadow_Mage  highborn
Uncommon     60       14     Street_Kid  highborn
Uncommon     60       14     Triple_Eye  highborn
Uncommon     60       14     Unicorn_Girl  highborn
Uncommon     60       13     Moss_Golem  verdant
Uncommon     60       13     Pipe_Detective  corsair
Uncommon     60       13     Prism_Statue  highborn
Uncommon     60       13     Purple_Crystal  highborn
Uncommon     60       13     Purple_Cyclops  primal
Uncommon     60       13     Straw_Hick  highborn
Uncommon     60       13     Swamp_Beast  highborn
Uncommon     60       13     Teal_Villain  highborn
  --- Uncommon: 73 ---

Common       120      13     Blank_Bot  ironborn
Common       120      13     Bog_Lizard  wildkin
Common       120      13     Bubble_DJ  highborn
Common       120      13     Cave_Man  highborn
Common       120      13     Cursed_Elmo  highborn
Common       120      13     Gladiator  highborn
Common       120      13     Glow_Pilot  voidkin
Common       120      13     Gob  highborn
Common       120      13     Gremlin  highborn
Common       120      13     Long_Eared_Aristocrat  highborn
Common       120      12     Adam_Beam  highborn
Common       120      12     Cosmic_Wojak  highborn
Common       120      12     Mad_Professor  highborn
Common       120      12     Oracle  highborn
Common       120      12     Pink_Fangs  hellspawn
Common       120      12     Purple_Prince  highborn
Common       120      12     Red_Eye_Astro  highborn
Common       120      12     Revolutionary  highborn
Common       120      12     Shocked_Face  eldritch
Common       120      12     Stoned_Dude  runeborn
Common       120      12     Stoned_Rapper  runeborn
Common       120      12     Tongue_Orc  primal
Common       120      11     Brave_Knight  highborn
Common       120      11     Bubble_Astronaut  highborn
Common       120      11     Cactus  verdant
Common       120      11     Cyan_Punk  highborn
Common       120      11     Cyber_Rebel  ironborn
Common       120      11     Daring_Queen  highborn
Common       120      11     Dark_Elf  verdant
Common       120      11     Gray_Elvis  highborn
Common       120      11     Neon_Pulse  highborn
Common       120      11     Shadow_Eyes  highborn
Common       120      11     Snake_Hair  highborn
Common       120      11     Suit_Devil  hellspawn
Common       120      11     Winged_Lion  highborn
Common       120      10     Boxy_Bot  ironborn
Common       120      10     Brain_Bot  ironborn
Common       120      10     Brain_Tentacle  voidkin
Common       120      10     Bushy_Brow  highborn
Common       120      10     Chill_Goat  highborn
Common       120      10     Cosmic_Matter  highborn
Common       120      10     Costa  highborn
Common       120      10     Crying_Bling  highborn
Common       120      10     Diva  highborn
Common       120      10     Grumpy_Storm  primal
Common       120      10     Mad_Aviator  highborn
Common       120      10     Medici  highborn
Common       120      10     Mint_Troll  wildkin
Common       120      10     One_Straw_Patch  highborn
Common       120      10     Redeye_Cyclops  primal
Common       120      10     Spiky_Artist  highborn
Common       120      9      Bolt_Block  highborn
Common       120      9      Dapper_Ghoul  highborn
Common       120      9      Diamond_Face  highborn
Common       120      9      Fin_Merman  wildkin
Common       120      9      Gilded_Bot  mythic
Common       120      9      Grinning_Donkey  highborn
Common       120      9      Leaf_Elf  verdant
Common       120      9      Neon_Visor  ironborn
Common       120      9      Vitalik  highborn
Common       120      8      Babushka  highborn
Common       120      8      Crying_Mime  corsair
Common       120      8      Red_Nose_Clown  highborn
Common       120      8      SWAT  highborn
Common       120      8      Shocked_Rooster  eldritch
Common       120      8      Teal_Cowboy  highborn
Common       120      8      Violet_Blob  voidkin
Common       120      8      Weary_Wizard  highborn
Common       120      7      Fire_Elemental  highborn
Common       120      7      Goblin_Rogue  wildkin
Common       120      7      Laughing_Dark_Boy  highborn
Common       120      7      Lava_Beast  highborn
Common       120      7      Manic_Goblin  wildkin
Common       120      7      Monk  highborn
Common       120      7      Pink_Goggles_Lady  highborn
Common       120      7      Sleepy_Koala  highborn
Common       120      7      Surprised Gorilla  highborn
Common       120      7      Tinoch_Punk  highborn
Common       120      7      Toxic_Mohawk  highborn
Common       120      6      Grumpy_Cyclops  primal
Common       120      6      Mantis  wildkin
Common       120      6      Old_Gas_Mask  runeborn
Common       120      6      Pipe_Sleuth  corsair
Common       120      6      Sleepy_Candle  highborn
Common       120      6      Steampunk  highborn
Common       120      6      Stone_Gargoyle  wildkin
Common       120      6      Teal_Luchador  corsair
Common       120      6      Two_Faced_Green  highborn
Common       120      6      Wooden_Puppet  runeborn
Common       120      5      Bark_Dryad  wildkin
Common       120      5      Bot_Cyclops  ironborn
Common       120      5      Copper_Aviator  highborn
Common       120      5      Funky_Geek  highborn
Common       120      5      Glowing_Gillman  voidkin
Common       120      5      Graffiti_Artist  highborn
Common       120      5      Pale_Wraith  ashborn
Common       120      5      Purple_Balaclava  highborn
Common       120      5      Static_Screen  highborn
Common       120      4      Bandana_Biker  corsair
Common       120      4      Beret_Pug  wildkin
Common       120      4      Bolt_Franken  ironborn
Common       120      4      Bryan  highborn
Common       120      4      Bubble_Bear  wildkin
Common       120      4      Bucktooth_Cyclops  primal
Common       120      4      Cowboy_Cactus  verdant
Common       120      4      Cyan_Cloude  highborn
Common       120      4      Goggle_Hamster  highborn
Common       120      4      Happy_Slime  eldritch
Common       120      4      Horned_Devil  hellspawn
Common       120      4      Lightning_Glam  highborn
Common       120      4      Office_Sloth  highborn
Common       120      4      Shroom_Knight  eldritch
Common       120      4      Sombrero_Smile  highborn
Common       120      4      Specs_Witch  highborn
Common       120      4      TMA_Bag  highborn
Common       120      4      Wale_Moca  highborn
Common       120      3      Banana_Guy  highborn
Common       120      3      Big_Old_Satoshi  highborn
Common       120      3      Fedora_Detective  corsair
Common       120      3      Grandma  highborn
Common       120      3      Horned_Cyclops  hellspawn
Common       120      3      Mint_Disco_Dancer  highborn
Common       120      3      Moss_Goblin  wildkin
Common       120      3      Mossy_Gargoyle  wildkin
Common       120      3      Pinstripe_Boss  highborn
Common       120      3      Space_Chimp  voidkin
Common       120      2      Anaglyph_Woman  eldritch
Common       120      2      Bloodshot_Mummy  highborn
Common       120      2      Blue_Ogre  primal
Common       120      2      Cyber_Duck  ironborn
Common       120      2      Druid  highborn
Common       120      2      Fanged_Hippie  hellspawn
Common       120      2      Gary  highborn
Common       120      2      Lucha_Mask  corsair
Common       120      2      Masked_Ranger  runeborn
Common       120      2      Miner  highborn
Common       120      2      Safari_Turkey  highborn
Common       120      2      Square_Professor  highborn
Common       120      2      Stoned_Jason  runeborn
Common       120      2      Tri_Cross_Bot  ironborn
Common       120      1      Crybaby_Rocker  highborn
Common       120      1      Gold_Tooth  highborn
Common       120      1      Gummy_Shock  highborn
Common       120      1      Rainbow_Elf  verdant
Common       120      1      Sleepy_Moon  voidkin
Common       120      1      Tic_Punk  highborn
Common       120      0      Bandaged_Dude  highborn
Common       120      0      Cool_Banana  highborn
Common       120      0      Fat_Nerd  highborn
Common       120      0      Hungry_Flytrap  highborn
Common       120      0      Kabuki_Face  highborn
Common       120      0      Painted_Mime  corsair
Common       120      0      Purple_Bustard  voidkin
Common       120      0      Sad_Scoop  highborn
Common       120      0      Satyr  wildkin
Common       120      0      Stoned_Burrito  runeborn
Common       120      0      War_Bonnet  mythic
  --- Common: 157 ---
